0,1,2,3,4,5,6,7,8
List of European stadiums by capacity,214,Estádio Municipal de Braga,"30,286",Braga, Portugal,S.C. Braga,2003,4
List of European stadiums by capacity,215,BayArena,"30,210",Leverkusen, Germany,Bayer 04 Leverkusen.Stadium uses retractable seating.,1932,
List of European stadiums by capacity,216,De Grolsch Veste,"30,205",Enschede, Netherlands,FC Twente,1998,
List of European stadiums by capacity,217,Rhein-Neckar Arena,"30,150",Sinsheim, Germany,TSG 1899 Hoffenheim.Stadium uses retractable seating.,2009,
List of European stadiums by capacity,218,Central Stadium,"30,133",Kazan, Russia,FC Rubin Kazan,1960,
List of European stadiums by capacity,219,Volkswagen Arena,"30,122",Wolfsburg, Germany,VfL Wolfsburg.Stadium uses retractable seating.,2002,
List of European stadiums by capacity,220,bet365 Stadium,"30,089",Stoke-on-Trent, England,Stoke City F.C.,1997,
List of European stadiums by capacity,221,Stade de Genève,"30,084",Geneva, Switzerland,"Servette FC, UEFA Euro 2008",2003,
List of European stadiums by capacity,222,Estadio La Rosaleda,"30,044",Málaga, Spain,Málaga CF.1982 FIFA World Cup venue.,1941,
List of European stadiums by capacity,223,Stade Maurice Dufrasne,"30,023",Liège, Belgium,Standard Liège,1909,
List of European stadiums by capacity,224,St Andrew's Stadium,"30,009",Birmingham, England,Birmingham City F.C.,1906,
List of European stadiums by capacity,225,Estádio D. Afonso Henriques,"30,000",Guimarães, Portugal,Vitória SC,1999,4
List of European stadiums by capacity,226,Anzhi-Arena,"30,000",Kaspiysk, Russia,FC Anzhi Makhachkala,2003,
List of European stadiums by capacity,227,Astana Arena,"30,000",Nur-Sultan, Kazakhstan,FC Lokomotiv Astana,2009,
List of European stadiums by capacity,228,Malmö Stadion,"30,000",Malmö, Sweden,"athletics, IFK Malmö, 1958 World Cup venue",1958,
List of European stadiums by capacity,228,Estadio José Rico Pérez,"30,000",Alicante, Spain,Hércules CF.1982 FIFA World Cup venue.,1974,
List of European stadiums by capacity,229,Letzigrund,"30,000",Zürich, Switzerland,"FC Zürich, Grasshopper Club Zürich, UEFA Euro 2008",2007,
List of European stadiums by capacity,230,Tivoli-Neu,"30,000",Innsbruck, Austria,"Fußballclub Wacker Innsbruck, UEFA Euro 2008",2000,
List of European stadiums by capacity,231,Red Bull Arena (Salzburg),"30,000",Salzburg, Austria,"FC Red Bull Salzburg, UEFA Euro 2008",2003,"
         Volkswagen Arena (Wolfsburg) Vfl Wolfsburg"
List of European stadiums by capacity,232,Metalurh Stadium,"29,783",Kryvyi Rih, Ukraine,FC Kryvbas Kryvyi Rih,1970,
List of European stadiums by capacity,233,Wildparkstadion,"29,699",Karlsruhe, Germany,Karlsruher SC,1955,
List of European stadiums by capacity,234,Estádio Cidade de Coimbra,"29,622",Coimbra, Portugal,Associação Académica de Coimbra - O.A.F.,2003,4
List of European stadiums by capacity,235,Stade de la Meinau,"29,230",Strasbourg, France,RC Strasbourg,1914,
List of European stadiums by capacity,236,Millerntor-Stadion,"29,063",Hamburg, Germany,FC St. Pauli,1961,
List of European stadiums by capacity,237,Jan Breydel Stadium,"29,042",Bruges, Belgium,"Club Brugge K.V., Cercle Brugge K.S.V.",1975,
List of European stadiums by capacity,238,El Molinón,"29,029",Gijón, Spain,Sporting de Gijón.1982 FIFA World Cup venue.,1908,
List of European stadiums by capacity,239,Brøndby Stadium,"29,000",Copenhagen, Denmark,Brøndby IF,1965,
List of European stadiums by capacity,240,DKB-Arena,"29,000",Rostock, Germany,F.C. Hansa Rostock,1954,
List of European stadiums by capacity,241,Şanlıurfa GAP Stadium,"28,965",Şanlıurfa, Turkey,Şanlıurfaspor,2009,
List of European stadiums by capacity,242,Lokomotiv Stadium (Moscow),"28,800",Moscow, Russia,"FC Lokomotiv Moscow, Russia national football team*",2002,
List of European stadiums by capacity,243,University of Bolton Stadium,"28,723",Bolton, England,Bolton Wanderers F.C.,1997,
List of European stadiums by capacity,244,Sakarya Stadium,"28,710",Sakarya, Turkey,Sakaryaspor,2017,
List of European stadiums by capacity,245,Toumba Stadium,"29,000",Thessaloniki, Greece,PAOK F.C.,1959,
List of European stadiums by capacity,246,Britannia Stadium,"28,383",Stoke-on-Trent, England,Stoke City F.C.,1997,
List of European stadiums by capacity,247,Stadionul Steaua,"28,365",Bucharest, Romania,"FC Steaua Bucureşti, Romania national football team*",1974,
List of European stadiums by capacity,248,Estádio do Bessa,"28,263",Porto, Portugal,Boavista F.C.,2003,4
List of European stadiums by capacity,249,Constant Vanden Stock Stadium,"28,063",Brussels, Belgium,R.S.C. Anderlecht,1917,4
List of European stadiums by capacity,250,Ukraina Stadium,"28,051",Lviv, Ukraine,FC Karpaty Lviv,1963,
List of European stadiums by capacity,251,Estádio 1º de Maio,"28,000",Braga, Portugal,"S.C.Braga B, S.C. Braga (women's football)",1950,
List of European stadiums by capacity,252,Allianz Stadion,"28,000",Vienna, Austria,Rapid Wien,2016,
List of European stadiums by capacity,253,Lefkoşa Atatürk Stadı,"28,000",Nicosia, Northern Cyprus,"Northern Cyprus national football team, Çetinkaya Türk S.K., Yenicami Ağdelen S.K.",1990,
List of European stadiums by capacity,254,Stadio Renato Curi,"28,000",Perugia, Italy,Perugia Calcio,1974,
List of European stadiums by capacity,255,Ullevaal Stadion,"28,000",Oslo, Norway,Norway national football team,1926,
List of European stadiums by capacity,256,Stadio Olimpico Grande Torino,"27,958",Turin, Italy,Torino F.C.,1933,4
List of European stadiums by capacity,257,Stadio Ennio Tardini,"27,906",Parma, Italy,Parma F.C.,1923,
List of European stadiums by capacity,258,Stadio Oreste Granillo,"27,763",Reggio Calabria, Italy,Reggina Calcio,1999,
List of European stadiums by capacity,259,Stadio Erasmo Iacovone,"27,584",Taranto, Italy,A.S. Taranto Calcio,1965,
List of European stadiums by capacity,260,Stadio Mario Rigamonti,"27,547",Brescia, Italy,Brescia Calcio,1959,
List of European stadiums by capacity,261,Odsal Stadium,"27,491",Bradford, England,Bradford Bulls,1934,
List of European stadiums by capacity,262,SchücoArena,"27,300",Bielefeld, Germany,Arminia Bielefeld,1926,
List of European stadiums by capacity,263,MDCC-Arena,"27,250",Magdeburg, Germany,1. FC Magdeburg,2006,
List of European stadiums by capacity,264,Carrow Road,"27,244",Norwich, England,Norwich City F.C.,1935,
List of European stadiums by capacity,265,Mikheil Meskhi Stadium,"27,223",Tbilisi, Georgia,"FC Lokomotivi Tbilisi, Georgia national rugby union team",2001,
List of European stadiums by capacity,266,The Valley (London),"27,111",London, England,Charlton Athletic F.C.,1919,
List of European stadiums by capacity,267,Malatya Stadium,"27,044",Malatya, Turkey,Yeni Malatyaspor,2017,
List of European stadiums by capacity,268,Ashton Gate Stadium,"27,000",Bristol, England,Bristol City,1887,
List of European stadiums by capacity,269,Carl-Benz-Stadion,"27,000",Mannheim, Germany,SV Waldhof Mannheim,1994,
List of European stadiums by capacity,270,Central Stadium (Krasnoyarsk),"27,000",Krasnoyarsk, Russia,"FC Metallurg-Yenisey Krasnoyarsk, Russia national rugby union team, 2019 Winter Universiade",1967,
List of European stadiums by capacity,271,O'Moore Park,"27,000",Portlaoise, Ireland,Laois GAA,1917,
List of European stadiums by capacity,272,Pankritio Stadium,"26,840",Heraklio, Greece,Ergotelis F.C.,2004,
List of European stadiums by capacity,273,Kaftanzoglio Stadium,"26,712",Thessaloniki, Greece,Iraklis Thessaloniki F.C.,1960,
List of European stadiums by capacity,274,Stade Municipal Saint-Symphorien,"26,700",Metz, France,FC Metz,1923,
List of European stadiums by capacity,275,The Oval,"26,556",Belfast, Northern Ireland,Glentoran F.C.,1892,
List of European stadiums by capacity,276,Estadio José Zorrilla,"26,512",Valladolid, Spain,Real Valladolid.1982 FIFA World Cup venue.,1982,
List of European stadiums by capacity,277,The Hawthorns,"26,500",West Bromwich, England,West Bromwich Albion F.C.,1900,
List of European stadiums by capacity,278,Selhurst Park,"26,309",London, England,Crystal Palace F.C.,1924,
List of European stadiums by capacity,279,Stadio Partenio,"26,308",Avellino, Italy,U.S. Avellino 1912,1973,
List of European stadiums by capacity,280,Ganja City Stadium,"26,120","Ganja, Azerbaijan", Azerbaijan,FK Ganja,1963,
List of European stadiums by capacity,281,Stade Guy Boniface,"26,100",Mont-de-Marsan, France,Stade Montois,1965,
List of European stadiums by capacity,282,Abe Lenstra Stadion,"26,000",Heerenveen, Netherlands,SC Heerenveen,1994,
List of European stadiums by capacity,283,Stadio del Conero,"26,000",Ancona, Italy,A.C. Ancona,1992,
List of European stadiums by capacity,284,Welford Road Stadium,"26,000",Leicester, England,Leicester Tigers,1892,
List of European stadiums by capacity,285,Yuvileiny Stadium,"25,830",Sumy, Ukraine,PFC Sumy,2001,
List of European stadiums by capacity,286,Craven Cottage,"25,700",London, England,Fulham F.C.,1896,
List of European stadiums by capacity,287,RSC Olimpiyskiy,"25,678",Donetsk, Ukraine,"Ukraine national under-21 football team*, FC Shakhtar Donetsk Reserves and Youth Team*",1958,
List of European stadiums by capacity,288,Thomond Park,"25,600",Limerick, Ireland,"Munster Rugby*, Shannon RFC, UL Bohemian R.F.C.",1940,
List of European stadiums by capacity,289,Slavia Stadium,"25,556",Sofia, Bulgaria,Slavia Sofia,1958,
List of European stadiums by capacity,290,Mersin Arena,"25,534",Mersin, Turkey,Mersin İdmanyurdu,2013,
List of European stadiums by capacity,291,KC Stadium,"25,404",Kingston upon Hull, England,"Hull City A.F.C., Hull",2002,
List of European stadiums by capacity,292,Estadi Ciutat de València,"25,354",Valencia, Spain,Levante UD,1969,
List of European stadiums by capacity,293,Stade Océane,"25,178",Le Havre, France,Le Havre AC,2012,
List of European stadiums by capacity,294,Tsentralnyi Stadion (Mykolaiv),"25,175",Mykolaiv, Ukraine,MFK Mykolaiv,1965,
List of European stadiums by capacity,295,Stadio Friuli,"25,144",Udine, Italy,Udinese Calcio.1990 FIFA World Cup venue.,1976,
List of European stadiums by capacity,296,DW Stadium,"25,138",Wigan, England,"Wigan Athletic F.C., Wigan Warriors",1999,
List of European stadiums by capacity,297,Valley Parade,"25,136",Bradford, England,Bradford City A.F.C.,1886,
List of European stadiums by capacity,298,Edgbaston Cricket Ground,"25,000",Birmingham, England,Warwickshire County Cricket Club,1882,
List of European stadiums by capacity,299,Wexford Park,"25,000",Wexford, Ireland,Wexford GAA,Before 1900,
List of European stadiums by capacity,300,St Jarlath's Park,"25,000",Tuam, Ireland,Galway GAA,1950,
List of European stadiums by capacity,301,Dr. Hyde Park ,"25,000",Roscommon, Ireland,Roscommon GAA,1971,
List of European stadiums by capacity,302,Stadio Pino Zaccheria,"25,000",Foggia, Italy,U.S. Foggia,1925,
List of European stadiums by capacity,303,Stadion Rote Erde,"25,000",Dortmund, Germany,Borussia Dortmund II,1926,
List of European stadiums by capacity,304,Skatbank-Arena,"25,000",Altenburg, Germany,SV Motor Altenburg,1957,
List of European stadiums by capacity,305,Bijeli Brijeg Stadium,"25,000",Mostar, Bosnia and Herzegovina,HŠK Zrinjski Mostar,1971,
List of European stadiums by capacity,306,CSK Stadium,"25,000",Ryazan, Russia,FC Zvezda Ryazan,1980,
List of European stadiums by capacity,307,Darlington Arena,"25,000",Darlington, England,Darlington Mowden Park R.F.C.,2003,
List of European stadiums by capacity,308,MMArena,"25,000",Le Mans, France,Le Mans UC72,2011,
List of European stadiums by capacity,309,Stade du Hainaut,"25,000",Valenciennes, France,Valenciennes FC,2011,
List of European stadiums by capacity,310,Ay-Yıldız Stadium,"25,000",Karabük, Turkey,Karabük University,2014,
List of European stadiums by capacity,311,New 4 Eylül Stadium,"25,000",Sivas, Turkey,Sivasspor,2016,4
